Id,Review,Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity,clean_review,temp_list
1501,"i got this to replace the screen in an older storm door on the main front door of my house. it's on the outside of the door in a very exposed location. i put it up and then kinda forgot about it so it's been out there for a year now. it's been through a hot, humid summer, a long, cold minnesota winter, and some pretty crazy spring and fall storms. i finally remembered to check it . . . it hasn't moved or loosened at all! this thing is solid!! install wasn't hard, just a bit fiddly (but i'm a perfectionist). this is one of the best simple diy home fixes i've bought in a long time. highly recommend!!",0,0,0,0,0,0,0,0,0,1,0,1,got replace screen older storm door main front door house outside door exposed location put kinda forgot year hot humid summer long cold minnesota winter pretty crazy spring fall storms finally remembered check not moved loosened thing solid install not hard bit fiddly perfectionist one best simple diy home fixes bought long time highly recommend,"['got', 'replace', 'screen', 'older', 'storm', 'door', 'main', 'front', 'door', 'house', 'outside', 'door', 'exposed', 'location', 'put', 'kinda', 'forgot', 'year', 'hot', 'humid', 'summer', 'long', 'cold', 'minnesota', 'winter', 'pretty', 'crazy', 'spring', 'fall', 'storms', 'finally', 'remembered', 'check', 'not', 'moved', 'loosened', 'thing', 'solid', 'install', 'not', 'hard', 'bit', 'fiddly', 'perfectionist', 'one', 'best', 'simple', 'diy', 'home', 'fixes', 'bought', 'long', 'time', 'highly', 'recommend']"
1502,needs to have the water pressure really high or fast to get a spray but it's not really a spray  if it's coming out fast.  can't get a mist,0,0,0,0,0,1,0,0,0,0,0,0,needs water pressure really high fast get spray not really spray coming fast not get mist,"['needs', 'water', 'pressure', 'really', 'high', 'fast', 'get', 'spray', 'not', 'really', 'spray', 'coming', 'fast', 'not', 'get', 'mist']"
1503,"i really like this product.  i wanted to change all 3 toilets in my home. so.. i ordered 1 first to test and liked it.  i then order the other 2 which was fine, until i discovered the dual flush button has a flaw that can injure children... in fact it hurt me late at night when i was not super careful (who is... in the middle of a nite tinkle!).  for the dual flush one would flush one or the other button but not both -wpuld be awkward. well when u flush one and your finger goes down with the button there is a gap where ur finger would naturally slide to (button not that big) and gets pinched by the empty gap under the other button.   yicks this pinched my kid and only then i had recalled when the same happened to me at night.  this is a problem that could easily be fixed by closing each button fully without gaps under them both.  ** please please fix.. it there is a different buttons that i can purchase and replace i'm all in. very surprised lowes have this without fixing yet... let me know if there is a fix and i am not aware. tnx.so beware with little fingers they slide further in and can get a worst pinch than adults. otherwise love the toilet, comes with wax ring!",0,0,1,0,0,0,0,0,0,0,0,0,really like product wanted change toilets home ordered first test liked order fine discovered dual flush button flaw injure children fact hurt late night not super careful middle nite tinkle dual flush one would flush one button not wpuld awkward well u flush one finger goes button gap ur finger would naturally slide button not big gets pinched empty gap button yicks pinched kid recalled happened night problem could easily fixed closing button fully without gaps please please fix different buttons purchase replace surprised lowes without fixing yet let know fix not aware tnx beware little fingers slide get worst pinch adults otherwise love toilet comes wax ring,"['really', 'like', 'product', 'wanted', 'change', 'toilets', 'home', 'ordered', 'first', 'test', 'liked', 'order', 'fine', 'discovered', 'dual', 'flush', 'button', 'flaw', 'injure', 'children', 'fact', 'hurt', 'late', 'night', 'not', 'super', 'careful', 'middle', 'nite', 'tinkle', 'dual', 'flush', 'one', 'would', 'flush', 'one', 'button', 'not', 'wpuld', 'awkward', 'well', 'u', 'flush', 'one', 'finger', 'goes', 'button', 'gap', 'ur', 'finger', 'would', 'naturally', 'slide', 'button', 'not', 'big', 'gets', 'pinched', 'empty', 'gap', 'button', 'yicks', 'pinched', 'kid', 'recalled', 'happened', 'night', 'problem', 'could', 'easily', 'fixed', 'closing', 'button', 'fully', 'without', 'gaps', 'please', 'please', 'fix', 'different', 'buttons', 'purchase', 'replace', 'surprised', 'lowes', 'without', 'fixing', 'yet', 'let', 'know', 'fix', 'not', 'aware', 'tnx', 'beware', 'little', 'fingers', 'slide', 'get', 'worst', 'pinch', 'adults', 'otherwise', 'love', 'toilet', 'comes', 'wax', 'ring']"
1504,these brads work really well. make sure they are used for interior use only.,0,0,0,0,0,1,0,0,0,0,0,1,brads work really well make sure used interior use,"['brads', 'work', 'really', 'well', 'make', 'sure', 'used', 'interior', 'use']"
1505,the cushions are comfortable!,0,0,0,0,0,0,0,0,0,0,1,1,cushions comfortable,"['cushions', 'comfortable']"
1506,works better than the bandsaw,0,0,0,0,0,1,0,0,0,0,0,1,works better bandsaw,"['works', 'better', 'bandsaw']"
1507,missing a screw and nut that holds one of the pads on the rail.,1,0,0,0,0,0,0,0,0,0,0,0,missing screw nut holds one pads rail,"['missing', 'screw', 'nut', 'holds', 'one', 'pads', 'rail']"
1508,i bought this to put over the holes in the pools i bought to use for planters. it seems to be good quality screen.,0,0,0,0,0,0,0,0,0,1,0,1,bought put holes pools bought use planters seems good quality screen,"['bought', 'put', 'holes', 'pools', 'bought', 'use', 'planters', 'seems', 'good', 'quality', 'screen']"
1509,toilet is fine. color is not as almond as i thought. i wish i had seen a real sample not just photo but will live with it as it looks white to me. it is quiet and uses less water so am very pleased. there was a scratch on toilet from shipping but will live with it as cannot waite another month.,0,0,0,0,1,1,0,0,0,0,0,1,toilet fine color not almond thought wish seen real sample not photo live looks white quiet uses less water pleased scratch toilet shipping live cannot waite another month,"['toilet', 'fine', 'color', 'not', 'almond', 'thought', 'wish', 'seen', 'real', 'sample', 'not', 'photo', 'live', 'looks', 'white', 'quiet', 'uses', 'less', 'water', 'pleased', 'scratch', 'toilet', 'shipping', 'live', 'cannot', 'waite', 'another', 'month']"
1510,the nails were all busted up in the box. along with several other boxes of similar nails i bought. bought 7 boxes of nails and over half of them were not usable,0,1,0,0,0,0,0,0,0,0,0,0,nails busted box along several boxes similar nails bought bought boxes nails half not usable,"['nails', 'busted', 'box', 'along', 'several', 'boxes', 'similar', 'nails', 'bought', 'bought', 'boxes', 'nails', 'half', 'not', 'usable']"
1511,this is second box im purchasing of these nails and they work perfect with my bostitch framing nailer. very affordable price and quality. using them to build fence around my house.,0,0,0,0,0,1,0,0,1,1,0,1,second box im purchasing nails work perfect bostitch framing nailer affordable price quality using build fence around house,"['second', 'box', 'im', 'purchasing', 'nails', 'work', 'perfect', 'bostitch', 'framing', 'nailer', 'affordable', 'price', 'quality', 'using', 'build', 'fence', 'around', 'house']"
1512,"that's a sprinkler it works fine. it's lightweight, easy to store, it waters the lawn. we'll see how it's done by the end of the year.",0,0,0,1,0,1,0,0,0,0,1,1,sprinkler works fine lightweight easy store waters lawn see done end year,"['sprinkler', 'works', 'fine', 'lightweight', 'easy', 'store', 'waters', 'lawn', 'see', 'done', 'end', 'year']"
1513,these clamps are great. smooth and super strong. my only negative is that i didn't buy the 36in and 48in at the same time!,0,0,1,0,0,0,0,0,0,1,0,1,clamps great smooth super strong negative not buy time,"['clamps', 'great', 'smooth', 'super', 'strong', 'negative', 'not', 'buy', 'time']"
1514,it's good i use it all the time2-3 times a week 15-20 min a usereliable,0,0,0,0,0,0,0,0,0,1,0,1,good use times week min usereliable,"['good', 'use', 'times', 'week', 'min', 'usereliable']"
1515,"expected a foam inner but its only batting. the cushions squished down considerably after sitting on them and after an hour, held that squished shape. i had to reinforce with a foam inner to make them fuller and more comfortable to sit on. that being said, they are beautiful and you can't beat the price, even if you do have to fill them yourself.",0,0,0,0,0,0,0,0,1,0,1,1,expected foam inner batting cushions squished considerably sitting hour held squished shape reinforce foam inner make fuller comfortable sit said beautiful not beat price even fill,"['expected', 'foam', 'inner', 'batting', 'cushions', 'squished', 'considerably', 'sitting', 'hour', 'held', 'squished', 'shape', 'reinforce', 'foam', 'inner', 'make', 'fuller', 'comfortable', 'sit', 'said', 'beautiful', 'not', 'beat', 'price', 'even', 'fill']"
1516,easy to use and store perfect for the job. product as advertised,0,0,0,0,0,0,0,0,0,0,1,1,easy use store perfect job product advertised,"['easy', 'use', 'store', 'perfect', 'job', 'product', 'advertised']"
1517,flush really fast. my only complaint is the seat is crooked no matter how many times we fix it.,0,1,0,0,0,1,0,0,0,0,0,0,flush really fast complaint seat crooked no matter many times fix,"['flush', 'really', 'fast', 'complaint', 'seat', 'crooked', 'no', 'matter', 'many', 'times', 'fix']"
1518,fixing my sprinklers is a pain. it's still a pain but this gadget made it a whole lot easier. i was able to cut the pvc in place and repair without digging too much of a hole. the blade is sharp and it's a ratchet so cutting was like butter. i have to say i'd recommend it.,1,0,0,0,0,1,0,0,0,1,0,1,fixing sprinklers pain still pain gadget made whole lot easier able cut pvc place repair without digging much hole blade sharp ratchet cutting like butter say would recommend,"['fixing', 'sprinklers', 'pain', 'still', 'pain', 'gadget', 'made', 'whole', 'lot', 'easier', 'able', 'cut', 'pvc', 'place', 'repair', 'without', 'digging', 'much', 'hole', 'blade', 'sharp', 'ratchet', 'cutting', 'like', 'butter', 'say', 'would', 'recommend']"
1519,easy to install and seems to be very strong,0,0,0,0,0,0,1,0,0,1,0,1,easy install seems strong,"['easy', 'install', 'seems', 'strong']"
1520,"i wanted something that i could control with my thumb and non-dominant hand (surgery). seems to be sturdy also. wish they had an in-between length so i didn't have to bend down so far, but could also get into smaller places.",0,0,0,0,0,0,0,0,0,1,0,1,wanted something could control thumb non dominant hand surgery seems sturdy also wish length not bend far could also get smaller places,"['wanted', 'something', 'could', 'control', 'thumb', 'non', 'dominant', 'hand', 'surgery', 'seems', 'sturdy', 'also', 'wish', 'length', 'not', 'bend', 'far', 'could', 'also', 'get', 'smaller', 'places']"
1521,"works great, easy to set up and use. definitely recommend this camera.",0,0,0,0,0,1,1,0,0,1,1,1,works great easy set use definitely recommend camera,"['works', 'great', 'easy', 'set', 'use', 'definitely', 'recommend', 'camera']"
1522,fit and adjust easily to window. keeps the critters out while letting cool night air in.,0,0,0,1,0,0,0,0,0,0,1,1,fit adjust easily window keeps critters letting cool night air,"['fit', 'adjust', 'easily', 'window', 'keeps', 'critters', 'letting', 'cool', 'night', 'air']"
1523,"this camera is great! i love that amazon created a plug-in camera, and it definitely delivers! the video quality is pretty great, the light is perfectly sensitive to motion, and you can even review 24 hour footage. it's a godsend when it comes to monitoring my dogs when they're in the backyard and provides a good sense of security. i just wish it had a backup battery",1,0,0,0,0,1,0,0,0,1,0,1,camera great love amazon created plug camera definitely delivers video quality pretty great light perfectly sensitive motion even review hour footage godsend comes monitoring dogs backyard provides good sense security wish backup battery,"['camera', 'great', 'love', 'amazon', 'created', 'plug', 'camera', 'definitely', 'delivers', 'video', 'quality', 'pretty', 'great', 'light', 'perfectly', 'sensitive', 'motion', 'even', 'review', 'hour', 'footage', 'godsend', 'comes', 'monitoring', 'dogs', 'backyard', 'provides', 'good', 'sense', 'security', 'wish', 'backup', 'battery']"
1524,works well with my bostich nailer,0,0,0,0,0,1,0,0,0,0,0,1,works well bostich nailer,"['works', 'well', 'bostich', 'nailer']"
1525,excellent clamps that tighten precisely - just like they are supposed to do.,0,0,0,0,0,1,0,0,0,0,0,1,excellent clamps tighten precisely like supposed,"['excellent', 'clamps', 'tighten', 'precisely', 'like', 'supposed']"
1526,works great in my ryobi cordless nailer.,0,0,0,0,0,1,0,0,0,0,0,1,works great ryobi cordless nailer,"['works', 'great', 'ryobi', 'cordless', 'nailer']"
1527,"it's perfect for fitting into a small bathroom space, which is what i have. it's got a fast, powerful flush and a tank that refills quickly.",0,0,0,1,0,1,0,0,0,0,0,1,perfect fitting small bathroom space got fast powerful flush tank refills quickly,"['perfect', 'fitting', 'small', 'bathroom', 'space', 'got', 'fast', 'powerful', 'flush', 'tank', 'refills', 'quickly']"
1528,seems to work good. time will tell.,0,0,0,0,0,1,0,0,0,0,0,1,seems work good time tell,"['seems', 'work', 'good', 'time', 'tell']"
1529,not nearly as sturdy as even the cheapest bessy screw clamp,0,0,0,0,0,0,0,0,0,1,0,0,not nearly sturdy even cheapest bessy screw clamp,"['not', 'nearly', 'sturdy', 'even', 'cheapest', 'bessy', 'screw', 'clamp']"
1530,worked for 5 rings... then wouldn't winch down.. we ended up going to our local hardware store..on sunday and paying 175 dollars for a real tool.. because otherwise we would have been without water until we could go to home depot or amazon... do not bother..cheap over seas crap,0,0,0,0,0,1,0,0,0,0,0,0,worked rings would not winch ended going local hardware store sunday paying dollars real tool otherwise would without water could go home depot amazon not bother cheap seas crap,"['worked', 'rings', 'would', 'not', 'winch', 'ended', 'going', 'local', 'hardware', 'store', 'sunday', 'paying', 'dollars', 'real', 'tool', 'otherwise', 'would', 'without', 'water', 'could', 'go', 'home', 'depot', 'amazon', 'not', 'bother', 'cheap', 'seas', 'crap']"
1531,i love my new toilet!!!  works fantastic! never thought i would be excited about a new toilet!,0,0,0,0,0,1,0,0,0,0,0,1,love new toilet works fantastic never thought would excited new toilet,"['love', 'new', 'toilet', 'works', 'fantastic', 'never', 'thought', 'would', 'excited', 'new', 'toilet']"
1532,this nozzle is pretty powerful. i used it to get my tex deck ready for the season. i also used it on my adirondack deck chairs. i was impressed with the force that the nozzle was able to generate. i would definitely recommend this product. it’s pretty solid. i was pleasantly surprised by the quality and would definitely buy another one down the road.,0,0,0,0,0,1,0,0,0,1,0,1,nozzle pretty powerful used get tex deck ready season also used adirondack deck chairs impressed force nozzle able generate would definitely recommend product pretty solid pleasantly surprised quality would definitely buy another one road,"['nozzle', 'pretty', 'powerful', 'used', 'get', 'tex', 'deck', 'ready', 'season', 'also', 'used', 'adirondack', 'deck', 'chairs', 'impressed', 'force', 'nozzle', 'able', 'generate', 'would', 'definitely', 'recommend', 'product', 'pretty', 'solid', 'pleasantly', 'surprised', 'quality', 'would', 'definitely', 'buy', 'another', 'one', 'road']"
1533,"easy to use and sturdy, use it daily to cut 1/4"" 3/8"" and 1/2"" airline.",0,0,0,0,0,0,0,0,0,1,1,1,easy use sturdy use daily cut airline,"['easy', 'use', 'sturdy', 'use', 'daily', 'cut', 'airline']"
1534,easy to follow instructions and good quality materials.,0,0,0,0,0,0,1,1,0,0,0,1,easy follow instructions good quality materials,"['easy', 'follow', 'instructions', 'good', 'quality', 'materials']"
1535,worked well easy to use.,0,0,0,0,0,1,0,0,0,0,1,1,worked well easy use,"['worked', 'well', 'easy', 'use']"
1536,"i got this to use while clamping boards together. it was not as strong as i had hoped, but still functions well.  i would purchase again jvc",0,0,0,0,0,1,0,0,0,0,0,1,got use clamping boards together not strong hoped still functions well would purchase jvc,"['got', 'use', 'clamping', 'boards', 'together', 'not', 'strong', 'hoped', 'still', 'functions', 'well', 'would', 'purchase', 'jvc']"
1537,i'm impressed. high quality and great value. will be buying more in the larger sizes.,0,0,0,0,0,0,0,0,1,1,0,1,impressed high quality great value buying larger sizes,"['impressed', 'high', 'quality', 'great', 'value', 'buying', 'larger', 'sizes']"
1538,"this will cover an outlet that is in our lr floor, but neither centered nor close to furniture location.installation is easy according to our friend who installed it. we are replacing a rectangular cover.this kit is adjustable and does the trick for us. i like the metal because i use stix primer and it will allow me to paint the metal if i choose.two prior metal rectangular ""normal"" outlet covers broke in half after being walked on.",0,0,0,0,1,0,1,0,0,0,0,1,cover outlet lr floor neither centered nor close furniture location installation easy according friend installed replacing rectangular cover kit adjustable trick us like metal use stix primer allow paint metal choose two prior metal rectangular normal outlet covers broke half walked,"['cover', 'outlet', 'lr', 'floor', 'neither', 'centered', 'nor', 'close', 'furniture', 'location', 'installation', 'easy', 'according', 'friend', 'installed', 'replacing', 'rectangular', 'cover', 'kit', 'adjustable', 'trick', 'us', 'like', 'metal', 'use', 'stix', 'primer', 'allow', 'paint', 'metal', 'choose', 'two', 'prior', 'metal', 'rectangular', 'normal', 'outlet', 'covers', 'broke', 'half', 'walked']"
1539,tool worked great and fit into the small space i needed it to,0,0,0,0,0,1,0,0,0,0,0,1,tool worked great fit small space needed,"['tool', 'worked', 'great', 'fit', 'small', 'space', 'needed']"
1540,not durable fabric. felt like it would rot in this florida weather.,0,0,0,0,0,0,0,0,0,1,0,0,not durable fabric felt like would rot florida weather,"['not', 'durable', 'fabric', 'felt', 'like', 'would', 'rot', 'florida', 'weather']"
1541,this is a great way to water the lawn when you don't have a sprinkler system. extremely easy to install and use. the only hard part was learning how to adjust the sprinkler head for the area you wanted watered. once you did one you the others were very easy to navigate. excellent product.,0,0,0,0,0,0,1,0,0,0,1,1,great way water lawn not sprinkler system extremely easy install use hard part learning adjust sprinkler head area wanted watered one others easy navigate excellent product,"['great', 'way', 'water', 'lawn', 'not', 'sprinkler', 'system', 'extremely', 'easy', 'install', 'use', 'hard', 'part', 'learning', 'adjust', 'sprinkler', 'head', 'area', 'wanted', 'watered', 'one', 'others', 'easy', 'navigate', 'excellent', 'product']"
1542,"needed to cut a pex pipe, that was set close to an adjacent pipe, so that i could attach a new shark bite shut off valve. this made it very easy to do and left a clean end to apply the shark bite.",0,0,0,0,0,1,0,0,0,0,1,1,needed cut pex pipe set close adjacent pipe could attach new shark bite shut valve made easy left clean end apply shark bite,"['needed', 'cut', 'pex', 'pipe', 'set', 'close', 'adjacent', 'pipe', 'could', 'attach', 'new', 'shark', 'bite', 'shut', 'valve', 'made', 'easy', 'left', 'clean', 'end', 'apply', 'shark', 'bite']"
1543,i would be lost without mine. i have recommended this product to several people. i am very satisfied.,0,0,0,0,0,0,0,0,0,1,0,1,would lost without mine recommended product several people satisfied,"['would', 'lost', 'without', 'mine', 'recommended', 'product', 'several', 'people', 'satisfied']"
1544,these were very easy to install. the bar makes it very simple to put it on any stud or rafter. after having to make so many alterations this was a godsend by making it super easy. i would recommend.,0,0,0,0,0,0,1,0,0,1,0,1,easy install bar makes simple put stud rafter make many alterations godsend making super easy would recommend,"['easy', 'install', 'bar', 'makes', 'simple', 'put', 'stud', 'rafter', 'make', 'many', 'alterations', 'godsend', 'making', 'super', 'easy', 'would', 'recommend']"
1545,just the ticket. they worked perfectly. it would be nice if they were a bit more rigid.,0,0,0,0,0,1,0,0,0,0,0,1,ticket worked perfectly would nice bit rigid,"['ticket', 'worked', 'perfectly', 'would', 'nice', 'bit', 'rigid']"
1546,"unit for the money works good for now, will just have to see how the camera's hold up being outside",0,0,0,0,0,1,0,0,1,0,0,1,unit money works good see camera hold outside,"['unit', 'money', 'works', 'good', 'see', 'camera', 'hold', 'outside']"
1547,i am very pleased with the glacier bay power flush toilet! it looks nice and flushes like a champ!!!,0,0,1,0,0,1,0,0,0,0,0,1,pleased glacier bay power flush toilet looks nice flushes like champ,"['pleased', 'glacier', 'bay', 'power', 'flush', 'toilet', 'looks', 'nice', 'flushes', 'like', 'champ']"
1548,"installed in a snap, flushes perfectly, fills fast, seems almost impossible to clog up. some people here report flushing issues but that can only be installation error because really, this thing is foolproof. only thing i don't like is that it's high. i'm 5'10 and i can't put my heels on the ground, my feet end up resting on my toes. i do have a higher than normal seat though because we have a heated toilet seat, if i used the one that came with the toilet i don't know if it would be lower.",0,0,0,1,0,1,1,0,0,0,0,1,installed snap flushes perfectly fills fast seems almost impossible clog people report flushing issues installation error really thing foolproof thing not like high not put heels ground feet end resting toes higher normal seat though heated toilet seat used one came toilet not know would lower,"['installed', 'snap', 'flushes', 'perfectly', 'fills', 'fast', 'seems', 'almost', 'impossible', 'clog', 'people', 'report', 'flushing', 'issues', 'installation', 'error', 'really', 'thing', 'foolproof', 'thing', 'not', 'like', 'high', 'not', 'put', 'heels', 'ground', 'feet', 'end', 'resting', 'toes', 'higher', 'normal', 'seat', 'though', 'heated', 'toilet', 'seat', 'used', 'one', 'came', 'toilet', 'not', 'know', 'would', 'lower']"
1549,great price and great product,0,0,0,0,0,0,0,0,1,0,0,1,great price great product,"['great', 'price', 'great', 'product']"
1550,it was hard finding 2-1/2 in. x 15 gauge finish nails at a 34 degree angle.  there are only a couple of brands that are recommendedby ryobi.  have already used some 3 strips of these nails and have not had a single jamming.,0,0,0,0,0,1,0,0,0,0,0,1,hard finding x gauge finish nails degree angle couple brands recommendedby ryobi already used strips nails not single jamming,"['hard', 'finding', 'x', 'gauge', 'finish', 'nails', 'degree', 'angle', 'couple', 'brands', 'recommendedby', 'ryobi', 'already', 'used', 'strips', 'nails', 'not', 'single', 'jamming']"
1551,we always buy this toilet for all our properties very comfortable,0,0,0,0,0,0,0,0,0,0,1,1,always buy toilet properties comfortable,"['always', 'buy', 'toilet', 'properties', 'comfortable']"
1552,"this seemed to work as well as the more expensive hardware store versions.feels pretty heavy and the threads are tight, what else is there?",0,0,0,1,0,1,0,0,0,0,0,1,seemed work well expensive hardware store versions feels pretty heavy threads tight else,"['seemed', 'work', 'well', 'expensive', 'hardware', 'store', 'versions', 'feels', 'pretty', 'heavy', 'threads', 'tight', 'else']"
1553,"been using this for 3 years. if you know the mechanics of adjusting its a very good sprinkler. shoots up to 35 feet. however the stake is too brittle, broke after just a few uses. luckily i had some good metal stakes from a poor performing more expensive sprinkler. at this price point you can keep a few reserves.see more",1,0,0,0,0,0,0,0,1,0,0,0,using years know mechanics adjusting good sprinkler shoots feet however stake brittle broke uses luckily good metal stakes poor performing expensive sprinkler price point keep reserves see,"['using', 'years', 'know', 'mechanics', 'adjusting', 'good', 'sprinkler', 'shoots', 'feet', 'however', 'stake', 'brittle', 'broke', 'uses', 'luckily', 'good', 'metal', 'stakes', 'poor', 'performing', 'expensive', 'sprinkler', 'price', 'point', 'keep', 'reserves', 'see']"
1554,the tool broke the first time i used it. not a good product.,0,0,0,0,0,0,0,0,0,1,0,0,tool broke first time used not good product,"['tool', 'broke', 'first', 'time', 'used', 'not', 'good', 'product']"
1555,very easy to work with. fits in my nail gun perfectly!,0,0,0,1,0,0,0,0,0,0,1,1,easy work fits nail gun perfectly,"['easy', 'work', 'fits', 'nail', 'gun', 'perfectly']"
1556,i bought a yardsmith sprinkler and it performed as expected.  the sprinkler distance and range was excellent.  would buy again.,0,0,0,0,0,1,0,0,0,0,0,1,bought yardsmith sprinkler performed expected sprinkler distance range excellent would buy,"['bought', 'yardsmith', 'sprinkler', 'performed', 'expected', 'sprinkler', 'distance', 'range', 'excellent', 'would', 'buy']"
1557,"follow directions and calibrate the tool before you starting to use it, works great with no problems",0,0,0,0,0,1,0,0,0,0,0,1,follow directions calibrate tool starting use works great no problems,"['follow', 'directions', 'calibrate', 'tool', 'starting', 'use', 'works', 'great', 'no', 'problems']"
1558,"these things are definitely cheap, so make sure you know what you're getting. the orange pieces fall off regularly, and they do not clamp very tight. if you are trying to clamp something down and need it to stay in place perfectly, don't use these. these are fine for light duty.",1,0,0,0,0,1,0,0,0,1,0,0,things definitely cheap make sure know getting orange pieces fall regularly not clamp tight trying clamp something need stay place perfectly not use fine light duty,"['things', 'definitely', 'cheap', 'make', 'sure', 'know', 'getting', 'orange', 'pieces', 'fall', 'regularly', 'not', 'clamp', 'tight', 'trying', 'clamp', 'something', 'need', 'stay', 'place', 'perfectly', 'not', 'use', 'fine', 'light', 'duty']"
1559,the piece is difficulty to maneuver into a hole in drywall and once in it's difficult to screw out into place.,0,0,0,0,0,0,1,0,0,0,0,0,piece difficulty maneuver hole drywall difficult screw place,"['piece', 'difficulty', 'maneuver', 'hole', 'drywall', 'difficult', 'screw', 'place']"
1560,i like these nails and they arrived quickly and without shipping,0,1,0,0,0,0,0,0,0,0,0,1,like nails arrived quickly without shipping,"['like', 'nails', 'arrived', 'quickly', 'without', 'shipping']"
1561,arrived in small clumps not suitable to use in an air gun. spend the extra $1 and get ones that are usable.,0,1,0,0,0,0,0,0,0,0,0,0,arrived small clumps not suitable use air gun spend extra get ones usable,"['arrived', 'small', 'clumps', 'not', 'suitable', 'use', 'air', 'gun', 'spend', 'extra', 'get', 'ones', 'usable']"
1562,"very happy with the new toilet. flushes very quickly, bowl stays clean, and the height is perfect for painful knees.",0,0,0,1,0,1,0,0,0,0,0,1,happy new toilet flushes quickly bowl stays clean height perfect painful knees,"['happy', 'new', 'toilet', 'flushes', 'quickly', 'bowl', 'stays', 'clean', 'height', 'perfect', 'painful', 'knees']"
1563,worked perfectly with my nailer. onlyproblem not a lot of nails for the price,0,0,0,0,0,1,0,0,0,0,0,1,worked perfectly nailer onlyproblem not lot nails price,"['worked', 'perfectly', 'nailer', 'onlyproblem', 'not', 'lot', 'nails', 'price']"
1564,setup was very easy and integrated well into the nest and google home apps.,0,0,0,0,0,0,1,0,0,0,0,1,setup easy integrated well nest google home apps,"['setup', 'easy', 'integrated', 'well', 'nest', 'google', 'home', 'apps']"
1565,love it! the detail and images are perfect. little to no interference with changing weather conditions. has been a strong deterrent. well worth the money!,0,0,0,0,0,0,0,0,1,1,0,1,love detail images perfect little no interference changing weather conditions strong deterrent well worth money,"['love', 'detail', 'images', 'perfect', 'little', 'no', 'interference', 'changing', 'weather', 'conditions', 'strong', 'deterrent', 'well', 'worth', 'money']"
1566,"we purchased a few of these sprinklers because the drought this summer has wreaked havoc on our lawn.  they work perfectly, very pleased with the results.",0,0,0,0,0,1,0,0,0,0,0,1,purchased sprinklers drought summer wreaked havoc lawn work perfectly pleased results,"['purchased', 'sprinklers', 'drought', 'summer', 'wreaked', 'havoc', 'lawn', 'work', 'perfectly', 'pleased', 'results']"
1567,worked as described was very useful for my projects. price was right ..,0,0,0,0,0,0,0,0,1,0,0,1,worked described useful projects price right,"['worked', 'described', 'useful', 'projects', 'price', 'right']"
1568,"unlike indoor cameras, i cannot play events from the phone app. it is inconvenient and makes this camera useless.",0,0,0,0,0,0,0,0,0,0,1,0,unlike indoor cameras cannot play events phone app inconvenient makes camera useless,"['unlike', 'indoor', 'cameras', 'cannot', 'play', 'events', 'phone', 'app', 'inconvenient', 'makes', 'camera', 'useless']"
1569,much better than the ones made of plastic,0,0,0,0,0,0,0,1,0,0,0,1,much better ones made plastic,"['much', 'better', 'ones', 'made', 'plastic']"
1570,easy to use. screens look great!,0,0,1,0,0,0,0,0,0,0,1,1,easy use screens look great,"['easy', 'use', 'screens', 'look', 'great']"
1571,"if you are not very handy, you may find installing screens a little bit outside your comfort zone. with a little practice though, and following a few youtube videos with the right tools, you might surprise yourself with how easy it actually is to install. it pays for itself with the 2nd or 3rd installation. great value for your money.",0,0,0,0,0,0,0,0,1,0,0,1,not handy may find installing screens little bit outside comfort zone little practice though following youtube videos right tools might surprise easy actually install pays installation great value money,"['not', 'handy', 'may', 'find', 'installing', 'screens', 'little', 'bit', 'outside', 'comfort', 'zone', 'little', 'practice', 'though', 'following', 'youtube', 'videos', 'right', 'tools', 'might', 'surprise', 'easy', 'actually', 'install', 'pays', 'installation', 'great', 'value', 'money']"
1572,"very small holes, which prevent most insects from penitrating. soft , delicate material,  so be cautious when installing.",0,0,1,0,0,0,0,1,0,0,0,0,small holes prevent insects penitrating soft delicate material cautious installing,"['small', 'holes', 'prevent', 'insects', 'penitrating', 'soft', 'delicate', 'material', 'cautious', 'installing']"
1573,do not buy this cutter!it is useless. does not cut straight.unless you want your pex pipe to be a curly fry do not but this!,0,0,0,0,0,1,0,0,0,0,0,0,not buy cutter useless not cut straight unless want pex pipe curly fry not,"['not', 'buy', 'cutter', 'useless', 'not', 'cut', 'straight', 'unless', 'want', 'pex', 'pipe', 'curly', 'fry', 'not']"
1574,"seems cheap like it's going to break when adjusting the settings, but so far so good.",0,0,0,0,0,0,0,0,0,1,0,0,seems cheap like going break adjusting settings far good,"['seems', 'cheap', 'like', 'going', 'break', 'adjusting', 'settings', 'far', 'good']"
1575,good quality and fast delivery,0,1,0,0,0,0,0,0,0,1,0,1,good quality fast delivery,"['good', 'quality', 'fast', 'delivery']"
1576,"grateful i can make screens, but since the directions are not great, i watched this video on youtube and was able to make the screens more easily.  also a miter box would have been handy to make the cuts.  here's video:  https://youtu.be/uo5bkq2j96c",0,0,0,0,0,0,1,0,0,0,0,1,grateful make screens since directions not great watched video youtube able make screens easily also miter box would handy make cuts video,"['grateful', 'make', 'screens', 'since', 'directions', 'not', 'great', 'watched', 'video', 'youtube', 'able', 'make', 'screens', 'easily', 'also', 'miter', 'box', 'would', 'handy', 'make', 'cuts', 'video']"
